第六,0,0.332531549,6,20.99,OD,0,
沙漠,44.79812706,45.63219718,6,20.18,NN,1,-0.32941
这,46.64697857,47.08664344,6,8554.9,PN,0,
倒,47.31243311,47.43243311,6,181.6,VV,1,-0.15892
挺,47.43243311,47.61682754,6,226.64,AD,1,-0.14069
有,47.61682754,47.79140035,6,8618.15,VE,1,-0.70428
意思,47.79140035,48.28925616,6,573.5,NN,1,-0.20277
小,49.07160099,49.25910513,6,1042.34,VA,1,-0.18602
王子,49.25910513,49.59531943,6,31.93,NN,1,-0.061025
说,49.59531943,49.83243311,6,6765.38,VV,1,-0.30405
这,50.42443311,50.72843311,6,8554.9,PN,0,
才,50.81732913,50.97897063,6,1094.48,AD,1,-0.16956
是,50.97897063,51.10181816,6,28253.52,VC,1,-0.38016
一,51.10181816,51.1923374,6,6069.96,CD,0,
种,51.1923374,51.36044455,6,468.48,VV,1,-0.20375
真正,51.36044455,51.68521514,6,211.35,VA,1,-0.46161
的,51.68521514,51.74987174,6,50155.13,DEG,0,
行当,51.74987174,52.11243311,6,2.56,NN,1,-0.17967
他,52.77144598,52.89429352,6,11853.78,PN,0,
朝,52.89429352,53.04300369,6,72.62,NR,1,-0.14701
四周,53.04300369,53.32749272,6,10.76,NN,1,-0.14828
看,53.32749272,53.52146252,6,3056.83,VV,1,-0.34062
了,53.52146252,53.63137873,6,28210.53,PU,0,
看,53.63137873,53.84843311,6,3056.83,VV,1,-0.54672
这,54.0387153,54.14671069,6,8554.9,PN,0,
位,54.14671069,54.26309256,6,487.92,VV,1,-0.31664
地理学,54.26309256,54.83853628,6,0.42,NN,1,-0.090829
家,54.26309256,54.83853628,6,805.63,NN,1,-0.27762
的,54.83853628,54.9161242,6,50155.13,DEG,0,
星球,54.9161242,55.36043311,6,43.34,NN,1,-0.23297
他,56.04843311,56.16043311,6,11853.78,PN,0,
还,56.16043311,56.28037842,6,3884.93,AD,1,-0.31648
从来,56.28037842,56.55193613,6,255.79,AD,1,-0.20291
没有,56.55193613,56.7653029,6,3226.48,VE,1,-0.3274
见,56.7653029,56.96573835,6,874.61,VV,1,-0.25791
过,56.96573835,57.08858589,6,3350.21,VV,1,-0.39823
一,57.08858589,57.17263947,6,6069.96,CD,0,
颗,57.17263947,57.37643311,6,73.39,M,0,
如此,57.55243311,57.91619034,6,247.57,VA,1,-0.36291
壮观,57.91619034,58.21361069,6,4.92,VA,1,-0.1626
的,58.21361069,58.30412993,6,50155.13,DEG,0,
行星,58.30412993,58.73643311,6,10.31,NN,1,-0.33293
您,59.27759813,59.47803358,6,515.08,PN,0,
的,59.47803358,59.56855282,6,50155.13,DEG,0,
星球,59.56855282,60.05643311,6,43.34,NN,1,-0.46823
真,60.24098144,60.49960783,6,3053.82,VA,1,-0.1175
美,60.49960783,60.7453029,6,214.63,VA,1,-0.097937
呀,60.7453029,60.94443311,6,318.96,IJ,0,
上面,61.41126586,61.88043311,6,159.87,NN,1,-0.3118
有,62.22593899,62.38111482,6,8618.15,VE,1,-0.48176
海洋,62.38111482,62.78845139,6,13.47,NN,1,-0.29389
吗,62.78845139,63.02522309,6,7428.1,SP,0,
这,63.66532341,64.41533994,6,8554.9,PN,0,
我,64.63517237,64.81621085,6,50147.83,PN,0,
没,64.81621085,65.1136312,6,4754.83,AD,1,-0.29446
法,65.1136312,65.41105155,6,148.96,NR,1,-0.10591
知道,65.41105155,65.94770131,6,5864.84,VV,1,-0.27954
地理学,66.67185521,67.24729893,6,0.42,NN,1,-0.14175
家,66.67185521,67.24729893,6,805.63,NN,1,-0.21647
说,67.24729893,67.46443311,6,6765.38,VV,1,-0.42952
啊,68.14421768,68.67243311,6,3903.92,IJ,0,
小,69.46321228,69.68951037,6,1042.34,VA,1,-0.20119
王子,69.68951037,70.18443311,6,31.93,NN,1,-0.053331
大失所望,70.38443311,71.17643311,6,0.63,VV,1,-0.086572
那么,71.99440862,72.55243311,6,1245.85,AD,1,-0.34331
山脉,72.91253231,73.3651285,6,3.58,NN,1,-0.037615
呢,73.3651285,73.60843311,6,2287.93,SP,0,
这,74.38023708,74.96861212,6,8554.9,PN,0,
我,75.31243311,75.51606379,6,50147.83,PN,0,
没,75.51606379,75.80701848,6,4754.83,AD,1,-0.20212
法,75.80701848,76.05271355,6,148.96,NR,1,-0.11957
知道,76.05271355,76.52043311,6,5864.84,VV,1,-0.33742
地理学,77.06443311,77.65619718,6,0.42,NN,1,-0.091295
家,77.06443311,77.65619718,6,805.63,NN,1,-0.19133
说,77.65619718,77.93422055,6,6765.38,VV,1,-0.43454
那么,78.6648401,79.17643311,6,1245.85,AD,1,-0.5564
有,79.59243311,79.79238525,6,8618.15,VE,1,-0.3901
城市,79.79238525,80.29643311,6,99.83,NN,1,-0.24599
河流,80.64585234,81.18443311,6,4.68,NN,1,-0.34178
沙漠,81.46699113,81.95191562,6,20.18,NN,1,-0.21556
吗,81.95191562,82.17643311,6,7428.1,SP,0,
这,82.9993525,83.49156792,6,8554.9,PN,0,
我,83.91830147,84.18339352,6,50147.83,PN,0,
也,84.18339352,84.39029463,6,3928.9,AD,1,-0.41766
没法,84.39029463,84.8299595,6,26.59,AD,1,-0.17923
知道,84.8299595,85.2631587,6,5864.84,VV,1,-0.32007
地理学,86.18774805,86.73732913,6,0.42,NN,1,-0.16131
家,86.18774805,86.73732913,6,805.63,NN,1,-0.23039
说,86.73732913,86.95243311,6,6765.38,VV,1,-0.44362
可,87.81677396,87.97841546,6,1374.9,AD,1,-0.20197
您,87.97841546,88.23243311,6,515.08,PN,0,
还,88.60558446,88.74782897,6,3884.93,AD,1,-0.43838
是,88.74782897,88.88360783,6,28253.52,VC,1,-0.41679
地理学,88.88360783,89.53017381,6,0.42,NN,1,-0.24144
家,88.88360783,89.53017381,6,805.63,NN,1,-0.43282
呢,89.53017381,89.76940322,6,2287.93,SP,0,
一点儿,90.51243311,90.99141292,6,28.05,AD,1,-0.12086
不错,90.99141292,91.63151323,6,564.29,VA,1,-0.2505
地理学,92.60043311,93.15098032,6,0.42,NN,1,-0.42426
家,92.60043311,93.15098032,6,805.63,NN,1,-0.63874
说,93.15098032,93.36843311,6,6765.38,VV,1,-0.5324
但是,94.10143231,94.75243311,6,1571.49,AD,1,-0.41721
我,95.11007524,95.32344201,6,50147.83,PN,0,
不,95.32344201,95.59499972,6,20543.44,AD,1,-0.37494
是,95.59499972,95.75963517,6,28253.52,VC,1,-0.56065
探察,95.75963517,96.51243311,6,0.15,VV,1,-0.10649
家,95.75963517,96.51243311,6,805.63,NN,1,-0.65069
我,97.15243311,97.3954471,6,50147.83,PN,0,
手下,97.3954471,97.78443311,6,22.45,NN,1,-0.066093
一,98.00043311,98.19072325,6,6069.96,CD,0,
个,98.19072325,98.34589908,6,5184,M,0,
探察,98.34589908,98.87608319,6,0.15,VV,1,-0.095108
家,98.34589908,98.87608319,6,805.63,NN,1,-0.69165
都,98.87608319,98.9859994,6,5294.71,AD,1,-0.36908
没有,98.9859994,99.43212993,6,3226.48,VE,1,-0.46749
地理学,100.1524331,100.8884331,6,0.42,NN,1,-0.038041
家,100.1524331,100.8884331,6,805.63,NN,1,-0.64008
是,101.1335377,101.3275075,6,28253.52,VC,1,-0.50072
不,101.3275075,101.5732026,6,20543.44,AD,1,-0.39011
去,101.5732026,101.7348441,6,4860.53,VV,1,-0.3227
计算,101.7348441,102.1745089,6,13.09,VV,1,-0.23243
城市,102.1745089,102.8004331,6,99.83,NN,1,-0.30247
河流,103.06677,103.7068703,6,4.68,NN,1,-0.22399
山脉,103.7068703,104.2564331,6,3.58,NN,1,-0.18549
海洋,104.2564331,105.2382479,6,13.47,NN,1,-0.32788
沙漠,105.2382479,106.0852493,6,20.18,NN,1,-0.34605
的,106.0852493,106.2468908,6,50155.13,DEG,0,
地理学,107.1124331,107.7044331,6,0.42,NN,1,-0.26739
家,107.1124331,107.7044331,6,805.63,NN,1,-0.17789
很,107.7044331,107.8827027,6,5979.28,AD,1,-0.25645
重要,107.8827027,108.4646121,6,348.08,VA,1,-0.19356
不,108.8721174,109.1372094,6,20543.44,AD,1,-0.29993
能,109.1372094,109.3053166,6,4967.91,VV,1,-0.2572
到处,109.3053166,109.6285996,6,104.66,AD,1,-0.29667
跑,109.6285996,109.8484331,6,367.61,VV,1,-0.1693
他,110.4691353,110.6243112,6,11853.78,PN,0,
不,110.6243112,110.8312123,6,20543.44,AD,1,-0.60427
能,110.8312123,111.0057851,6,4967.91,VV,1,-0.54862
离开,111.0057851,111.3355337,6,606.89,VV,1,-0.16784
他,111.3355337,111.5165722,6,11853.78,PN,0,
的,111.5165722,111.5812288,6,50155.13,DEG,0,
办公室,111.5812288,112.2004331,6,175.34,NN,1,-0.18453
但,112.9438962,113.118469,6,2034.22,AD,1,-0.46901
他,113.118469,113.2736449,6,11853.78,PN,0,
可以,113.2736449,113.6964331,6,2360.84,VV,1,-0.63844
在,113.9072795,114.0818523,6,12811.05,P,0,
办公室,114.0818523,114.7025557,6,175.34,NN,1,-0.3096
里,114.7025557,114.8706628,6,1886.22,NN,1,-0.25249
接见,114.8706628,115.4404331,6,2.09,VV,1,-0.15381
探察,115.4404331,116.1185352,6,0.15,VV,1,-0.16806
家,115.4404331,116.1185352,6,805.63,NN,1,-0.20785
他,116.9079031,117.0954072,6,11853.78,PN,0,
询问,117.0954072,117.554469,6,18.63,VV,1,-0.30765
探察,117.554469,118.1284331,6,0.15,VV,1,-0.16242
家,117.554469,118.1284331,6,805.63,NN,1,-0.43247
把,118.3885391,118.5113867,6,3712.28,BA,0,
他们,118.5113867,118.8346697,6,4187.02,PN,0,
的,118.8346697,118.9510515,6,50155.13,DEG,0,
回忆,118.9510515,119.4724331,6,35.62,VV,1,-0.21777
记录,119.4724331,119.9467632,6,133.55,NN,1,-0.24465
下来,119.9467632,120.4187563,6,380.01,VV,1,-0.19344
如果,121.036888,121.2890487,6,2277.94,CS,0,
他,121.2890487,121.4506902,6,11853.78,PN,0,
认为,121.4506902,122.1124331,6,754,VV,1,-0.27219
其中,122.4657988,122.9636546,6,137.21,NN,1,-0.24101
有,122.9636546,123.1123647,6,8618.15,VE,1,-0.39149
个,123.1123647,123.2287466,6,5184,M,0,
探察,123.2287466,123.8041903,6,0.15,VV,1,-0.13108
家,123.2287466,123.8041903,6,805.63,NN,1,-0.45061
的,123.8041903,123.9141066,6,50155.13,DEG,0,
回忆,123.9141066,124.3364331,6,35.62,VV,1,-0.41834
是,124.4960159,124.741711,6,28253.52,VC,1,-0.44518
有,124.741711,124.8724331,6,8618.15,VE,1,-0.61761
意思,124.8724331,125.3573234,6,573.5,NN,1,-0.15498
的,125.3573234,125.4931023,6,50155.13,DEG,0,
那么,126.1124331,126.4047603,6,1245.85,AD,1,-0.41778
地理学,126.4047603,127.2884331,6,0.42,NN,1,-0.12166
家,126.4047603,127.2884331,6,805.63,NN,1,-0.42542
就,127.4845255,127.6964331,6,8246.34,AD,1,-0.36514
对,127.6964331,127.8401368,6,3958.83,VA,1,-0.43367
这个,127.8401368,128.1052288,6,2744.19,PN,0,
探察,128.1052288,128.7065352,6,0.15,VV,1,-0.081194
家,128.1052288,128.7065352,6,805.63,NN,1,-0.43802
的,128.7065352,128.8164514,6,50155.13,DEG,0,
品德,128.8164514,129.5291023,6,0.98,NN,1,-0.30476
做,129.5291023,129.7747973,6,3647.59,VV,1,-0.34428
一,129.7747973,129.9816984,6,6069.96,CD,0,
番,129.9816984,130.2273935,6,8.02,M,0,
调查,130.2273935,130.8998221,6,188.37,NN,1,-0.19997
这,131.7468236,132.1412288,6,8554.9,PN,0,
是,132.1412288,132.3998552,6,28253.52,VC,1,-0.40502
为什么,132.3998552,132.7877948,6,1522.16,AD,1,-0.32753
呢,132.7877948,133.0334899,6,2287.93,SP,0,
因为,133.8084331,134.2554539,6,1783.29,P,0,
一,134.2554539,134.3459732,6,6069.96,CD,0,
个,134.3459732,134.4946833,6,5184,M,0,
说,134.4946833,134.8244331,6,6765.38,VV,1,-0.48192
假话,134.8244331,135.3481504,6,1.79,NN,1,-0.29838
的,135.3481504,135.470998,6,50155.13,DEG,0,
探察,135.470998,136.1110983,6,0.15,VV,1,-0.12539
家,135.470998,136.1110983,6,805.63,NN,1,-0.47613
会,136.4537783,136.6606794,6,7927.17,VV,1,-0.30501
给,136.6606794,136.8223209,6,3494.19,VV,1,-0.37406
地理,136.8223209,137.1843978,6,4.38,NN,1,-0.061431
书,137.1843978,137.4818182,6,213.2,NN,1,-0.27455
带来,137.6244331,137.9462616,6,133.9,VV,1,-0.2255
灾难,137.9462616,138.6898124,6,24.59,NN,1,-0.34836
性,137.9462616,138.6898124,6,133.93,NN,1,-0.27225
的,138.6898124,138.793263,6,50155.13,DEG,0,
后果,138.793263,139.2199965,6,27.01,NN,1,-0.51754
同意,139.7695776,140.2644331,6,171.67,VV,1,-0.22159
一,140.7604331,140.9124331,6,6069.96,CD,0,
个,140.9124331,141.0368469,6,5184,M,0,
太,141.0368469,141.263145,6,1942.11,AD,1,-0.15196
爱,141.263145,141.4377178,6,927.73,VV,1,-0.14123
喝酒,141.4377178,141.8404331,6,67.04,VV,1,-0.19945
的,141.8404331,142.0713525,6,50155.13,DEG,0,
探察,142.0713525,142.6644331,6,0.15,VV,1,-0.10417
家,142.0713525,142.6644331,6,805.63,NN,1,-0.19163
也,142.9778056,143.2687603,6,3928.9,AD,1,-0.45338
是,143.2687603,143.6114403,6,28253.52,VC,1,-0.36808
如此,143.6114403,144.3291285,6,247.57,VA,1,-0.43795
这,145.1050077,145.4564331,6,8554.9,PN,0,
又,145.9002838,146.0813223,6,1060.05,AD,1,-0.35629
是,146.0813223,146.333654,6,28253.52,VC,1,-0.51031
为什么,146.333654,146.6884331,6,1522.16,AD,1,-0.34168
小,147.303503,147.4910071,6,1042.34,VA,1,-0.20123
王子,147.4910071,147.7819618,6,31.93,NN,1,-0.067435
说,147.7819618,148.0858478,6,6765.38,VV,1,-0.4623
因为,148.881124,149.2964331,6,1783.29,P,0,
喝,149.2964331,149.8768356,6,417.45,VV,1,-0.27049
醉,149.2964331,149.8768356,6,75.24,VA,1,-0.16
了,149.8768356,149.98598,6,28210.53,PU,0,
酒,149.98598,150.2446064,6,188.93,NN,1,-0.36524
的,150.2446064,150.4709045,6,50155.13,DEG,0,
人,150.4709045,150.6842713,6,5810.26,NN,1,-0.3386
把,151.1045391,151.2985089,6,3712.28,BA,0,
一,151.2985089,151.6088606,6,6069.96,CD,0,
个,151.6088606,151.8028304,6,5184,M,0,
看成,152.0614568,152.4364651,6,6.41,VV,1,-0.32391
两,152.4364651,152.7532824,6,1090.43,CD,0,
个,152.7532824,153.0119088,6,5184,M,0,
那么,153.5844331,154.1897589,6,1245.85,AD,1,-0.39514
地理学,154.5844331,155.4324331,6,0.42,NN,1,0.014659
家,154.5844331,155.4324331,6,805.63,NN,1,-0.22561
就,155.7156546,155.896693,6,8246.34,AD,1,-0.41503
会,155.896693,156.0583345,6,7927.17,VV,1,-0.25373
把,156.0583345,156.1941134,6,3712.28,BA,0,
