那么,40.31384807,40.52721159,3,1245.85,AD,1,-0.57917
刺,40.52721159,40.80984807,3,43.19,VV,1,-0.099855
有,41.04600036,41.19249589,3,8618.15,VE,1,-0.44008
用,41.42125315,41.54380167,3,1563.08,VV,1,-0.34044
小,42.72435249,42.90409033,3,1042.34,VA,1,-0.16272
王子,42.90409033,43.16144224,3,31.93,NN,1,-0.014875
提出,43.46781355,43.6720611,3,42.3,VV,1,-0.14418
问题,43.77009992,44.09784807,3,994.56,NN,1,-0.35917
从来,44.26846393,44.60184807,3,255.79,AD,1,-0.26401
不,44.60184807,44.71475303,3,20543.44,AD,1,-0.44199
会,44.71475303,44.80870691,3,7927.17,VV,1,-0.39566
放过,44.80870691,45.14584807,3,6.29,VV,1,-0.19785
螺丝,46.22618487,46.56984807,3,3.31,NN,1,-0.21829
使,46.70820908,46.86752217,3,146.51,VV,1,-0.34363
很,46.94805653,47.12370941,3,5979.28,AD,1,-0.41495
恼火,47.12370941,47.4995249,3,6.59,VA,1,-0.20195
于是,47.9652093,48.32984807,3,58.13,AD,1,-0.47452
就,48.53710243,48.66782086,3,8246.34,AD,1,-0.54737
随便,48.66782086,48.97827713,3,118.37,VA,1,-0.4962
回答,48.97827713,49.24788389,3,121.32,VV,1,-0.36129
刺,50.3485297,50.56094714,3,43.19,VV,1,-0.15312
么,50.56094714,50.72184807,3,1166.14,NN,1,-0.18436
用,51.38202228,51.51682566,3,1563.08,VV,1,-0.42507
都,51.51682566,51.58626982,3,5294.71,AD,1,-0.51198
没有,51.58626982,51.90584807,3,3226.48,VE,1,-0.41759
纯粹,52.41622643,52.80021181,3,13,VA,1,-0.34636
是,52.80021181,52.89825064,3,28253.52,VC,1,-0.38523
花,52.89825064,53.04939382,3,266.7,VV,1,-0.12523
恶劣,53.14743264,53.39661465,3,7.24,VA,1,-0.19948
表现,53.39661465,53.72184807,3,211.11,NN,1,-0.33485
可是,56.00149338,56.24250549,3,349.93,AD,1,-0.49654
沉默,56.36505402,56.66325543,3,21.28,VA,1,-0.29965
一会儿,56.72861465,56.9655418,3,99.53,NN,1,-0.21877
之后,56.9655418,57.30584807,3,330.85,AD,1,-0.37856
怀,57.66815336,57.77436208,3,21.05,VV,1,0.030145
着,57.77436208,57.88465576,3,2983.65,VV,1,-0.31756
不满,57.88465576,58.15426252,3,7.6,VA,1,-0.31063
心情,58.24821639,58.55458771,3,47.84,NN,1,-0.41424
冲,58.55458771,58.65938136,3,114.83,VV,1,-0.1114
说,58.74925028,58.95384807,3,6765.38,VV,1,-0.3878
不,59.86444188,60.01967001,3,20543.44,AD,1,-0.33607
信,60.01967001,60.32184807,3,222.08,NN,1,-0.17423
花,60.94584807,61.09365598,3,266.7,VV,1,-0.15146
是,61.09365598,61.22437441,3,28253.52,VC,1,-0.33632
弱小,61.22437441,61.60835979,3,3.64,VA,1,-0.33271
是,62.34365096,62.44577473,3,28253.52,VC,1,-0.55793
总是,63.75239633,64.0546827,3,254.93,AD,1,-0.49561
设法,64.0546827,64.34062926,3,14.19,VV,1,-0.18741
保护,64.34062926,64.66742533,3,211.47,VV,1,-0.26984
以为,65.46807571,65.66415336,3,494.3,VV,1,-0.37506
有,65.66415336,65.80304169,3,8618.15,VE,1,-0.51709
刺,65.92150527,66.23384807,3,43.19,VV,1,-0.15242
就,66.71110745,66.81323122,3,8246.34,AD,1,-0.40456
可以,66.81323122,67.07058313,3,2360.84,VV,1,-0.47971
显出,67.07058313,67.45048357,3,1.73,VV,1,-0.44865
厉害,67.79361944,68.15384807,3,75.48,VA,1,-0.28062
默不作声,69.35757103,69.97784807,3,0.15,NN,1,-0.18828
当时,70.62799076,70.84449316,3,206.73,NT,1,-0.28585
想,70.84449316,71.06099556,3,6325.1,VV,1,-0.44258
螺丝,72.0188526,72.28845936,3,3.31,NN,1,-0.22492
再,72.28845936,72.47228215,3,1684.82,AD,1,-0.35889
作对,72.6846996,72.96184807,3,3.34,VV,1,-0.30357
就,73.41590581,73.52211454,3,8246.34,AD,1,-0.7013
锤子,73.62584807,73.86116546,3,7.96,NN,1,-0.30669
敲,73.86116546,74.06541301,3,27.9,VV,1,-0.36493
掉,74.06541301,74.20430134,3,481.15,VV,1,-0.44301
小,75.00812686,75.22462926,3,1042.34,VA,1,-0.19488
王子,75.22462926,75.61784807,3,31.93,NN,1,-0.069727
又,75.84184807,75.95583548,3,1060.05,AD,1,-0.42796
来,75.95583548,76.09063886,3,5519.32,VV,1,-0.35371
打搅,76.09063886,76.35616067,3,13.35,VV,1,-0.037617
思绪,76.53589851,76.85452468,3,3.76,NN,1,-0.31745
却,77.47543722,77.69929197,3,397.84,AD,1,-0.4887
认为,77.69929197,78.03017299,3,754,VV,1,-0.19575
花,78.03017299,78.29784807,3,266.7,VV,1,-0.14307
算,78.54896176,78.86758793,3,397.57,VV,1,-0.2451
喊,79.87657081,80.05630865,3,41.49,VV,1,-0.25813
道,80.05630865,80.22379163,3,111.99,NN,1,-0.15694
算,80.84616568,81.14845205,3,397.57,VV,1,-0.51142
算,81.82246895,82.17377473,3,397.57,VV,1,-0.68825
是,84.38146416,84.48767288,3,28253.52,VC,1,-0.36437
随便,84.48767288,84.74093984,3,118.37,VA,1,-0.42086
回答,84.74093984,84.96152719,3,121.32,VV,1,-0.40773
可,85.64779894,85.76217757,3,1374.9,AD,1,-0.23321
有,85.76217757,85.87655619,3,8618.15,VE,1,-0.42648
正经,85.87655619,86.18701246,3,10.85,NN,1,-0.25658
事,86.18701246,86.24678226,3,2912.82,NN,1,-0.24115
要,86.24678226,86.40609535,3,7114.18,VV,1,-0.51211
做,86.40609535,86.57784807,3,3647.59,VV,1,-0.40791
惊讶,87.41916317,87.766384,3,48.98,VA,1,-0.33116
地,87.766384,87.85625292,3,536.84,NN,1,-0.3036
看,87.85625292,88.01965096,3,3056.83,VV,1,-0.42197
着,88.01965096,88.12177473,3,2983.65,VV,1,-0.37229
正经,89.13075761,89.58959295,3,10.85,NN,1,-0.31767
事,89.58959295,89.90584807,3,2912.82,NN,1,-0.49505
瞅,90.84775783,91.06017528,3,1.49,NN,1,-0.0078575
着,91.06017528,91.13778935,3,2983.65,VV,1,-0.49699
手,91.23174322,91.39514125,3,447.44,NN,1,-0.21679
拿,91.39514125,91.53402959,3,964.66,VV,1,-0.31755
锤子,91.53402959,91.92984807,3,7.96,NN,1,-0.31389
手指,92.30200036,92.6231924,3,29.93,NN,1,-0.4328
沾满,92.6231924,92.94181857,3,3.04,VV,1,-0.42948
油污,93.01126274,93.34584807,3,0.39,NN,1,-0.09916
伏,93.7057044,93.86910243,3,9.18,VV,1,-0.18235
看来,94.74328193,95.00184807,3,221.07,VV,1,-0.20253
丑,95.00184807,95.619355,3,26.05,NN,1,-0.25248
不,95.00184807,95.619355,3,20543.44,AD,1,-0.29159
可,95.00184807,95.619355,3,1374.9,AD,1,-0.25715
言,95.00184807,95.619355,3,31.12,NN,1,-0.22992
机件,95.68471421,96.03601999,3,0.36,NN,1,-0.24645
上,96.03601999,96.21984278,3,3409.33,VV,1,-0.40148
说话,97.15121159,97.58830134,3,267.84,VV,1,-0.30346
就,98.27375554,98.43715358,3,8246.34,AD,1,-0.46381
大人,98.80071421,99.14793504,3,82.99,NN,1,-0.24587
一样,99.14793504,99.50584807,3,860.33,VA,1,-0.50194
话,100.7778305,101.0842018,3,1189.39,NN,1,-0.30827
使,101.4918376,101.7165099,3,146.51,VV,1,-0.37449
有点,101.8308886,102.0106264,3,175.79,AD,1,-0.38179
难堪,102.0106264,102.4098481,3,16.99,NN,1,-0.35887
可是,103.1952622,103.3917845,3,349.93,AD,1,-0.49471
又,103.5388428,103.6573063,3,1060.05,AD,1,-0.35449
尖刻,103.6573063,104.2823038,3,1.07,VA,1,-0.33135
无情,103.6573063,104.2823038,3,9.3,VA,1,-0.25079
地,104.2823038,104.351748,3,536.84,NN,1,-0.35198
说,104.351748,104.5069761,3,6765.38,VV,1,-0.41002
道,104.5069761,104.6738481,3,111.99,NN,1,-0.15901
都,105.6385075,105.7814808,3,5294.71,AD,1,-0.45309
分,105.7814808,105.9612187,3,162.61,VV,1,-0.21004
