ᴀ	2001	1	1
ᴀ	2003	9	2
ᴀ	2004	5	1
ᴀ	2005	25	7
ᴀ	2006	36	5
ᴀ	2007	182	20
ᴀ	2008	236	21
ᴀ	2009	42	3
ß_NOUN	1889	2	1
ß_NOUN	1917	4	1
ß_NOUN	1929	5	1
ß_NOUN	1934	1	1
ß_NOUN	1935	1	1
ß_NOUN	1937	4	1
ß_NOUN	1950	2	1
ß_NOUN	1952	2	1
ß_NOUN	1953	5	2
ß_NOUN	1954	1	1
ß_NOUN	1958	1	1
ß_NOUN	1959	2	1
ß_NOUN	1960	3	2
ß_NOUN	1961	11	6
ß_NOUN	1962	8	4
ß_NOUN	1963	2	2
ß_NOUN	1964	1	1
ß_NOUN	1965	9	3
ß_NOUN	1966	6	3
ß_NOUN	1967	2	1
ß_NOUN	1968	23	6
ß_NOUN	1969	25	3
ß_NOUN	1971	4	3
ß_NOUN	1973	2	2
ß_NOUN	1974	2	2
ß_NOUN	1975	8	3
ß_NOUN	1976	5	3
ß_NOUN	1977	7	4
ß_NOUN	1978	1	1
ß_NOUN	1979	4	1
ß_NOUN	1980	5	3
ß_NOUN	1981	9	6
ß_NOUN	1982	11	5
ß_NOUN	1983	4	2
ß_NOUN	1984	4	2
ß_NOUN	1985	10	5
ß_NOUN	1986	5	5
ß_NOUN	1987	5	4
ß_NOUN	1988	7	5
ß_NOUN	1989	9	8
ß_NOUN	1990	21	11
ß_NOUN	1991	2	1
ß_NOUN	1992	8	3
ß_NOUN	1993	79	8
ß_NOUN	1994	9	3
ß_NOUN	1995	2	1
ß_NOUN	1996	6	3
ß_NOUN	1997	4	4
ß_NOUN	1998	17	3
ß_NOUN	1999	2	2
ß_NOUN	2000	2	2
ß_NOUN	2001	1	1
ß_NOUN	2002	2	2
ß_NOUN	2003	11	2
ß_NOUN	2004	3	2
ß_NOUN	2005	5	4
ß_NOUN	2006	6	4
ß_NOUN	2007	24	4
ᴀ_NOUN	2001	1	1
ᴀ_NOUN	2003	9	2
ᴀ_NOUN	2004	5	1
ᴀ_NOUN	2005	24	6
ᴀ_NOUN	2006	35	5
ᴀ_NOUN	2007	174	20
ᴀ_NOUN	2008	233	21
ᴀ_NOUN	2009	42	3
Ⅰ_URL	1597	1	1
Ⅰ_URL	1809	1	1
Ⅰ_URL	1837	2	1
Ⅰ_URL	1853	1	1
Ⅰ_URL	1871	1	1
Ⅰ_URL	1885	1	1
Ⅰ_URL	1890	2	1
Ⅰ_URL	1897	1	1
Ⅰ_URL	1911	1	1
Ⅰ_URL	1940	1	1
Ⅰ_URL	1942	1	1
Ⅰ_URL	1944	1	1
Ⅰ_URL	1946	2	1
Ⅰ_URL	1948	1	1
Ⅰ_URL	1957	1	1
Ⅰ_URL	1958	11	2
Ⅰ_URL	1960	4	2
Ⅰ_URL	1961	5	2
Ⅰ_URL	1965	1	1
Ⅰ_URL	1969	1	1
Ⅰ_URL	1970	1	1
Ⅰ_URL	1971	1	1
Ⅰ_URL	1974	3	2
Ⅰ_URL	1975	2	1
Ⅰ_URL	1976	3	2
Ⅰ_URL	1977	1	1
Ⅰ_URL	1979	60	1
Ⅰ_URL	1981	1	1
Ⅰ_URL	1982	2	1
Ⅰ_URL	1983	1	1
Ⅰ_URL	1984	1	1
Ⅰ_URL	1985	2	2
Ⅰ_URL	1987	3	3
Ⅰ_URL	1988	2	2
Ⅰ_URL	1989	9	3
Ⅰ_URL	1990	6	5
Ⅰ_URL	1991	2	2
Ⅰ_URL	1994	3	3
Ⅰ_URL	1995	90	8
Ⅰ_URL	1996	6	1
Ⅰ_URL	1999	5	1
Ⅰ_URL	2000	16	2
Ⅰ_URL	2001	3	2
Ⅰ_URL	2002	10	1
Ⅰ_URL	2004	1	1
Ⅰ_URL	2005	9	9
Ⅰ_URL	2006	5	4
Ⅰ_URL	2007	1	1
Ⅰ	1597	1	1
Ⅰ	1662	1	1
Ⅰ	1720	1	1
Ⅰ	1723	1	1
Ⅰ	1759	1	1
Ⅰ	1808	1	1
Ⅰ	1809	1	1
Ⅰ	1818	2	1
Ⅰ	1823	1	1
Ⅰ	1827	3	1
Ⅰ	1831	1	1
Ⅰ	1837	3	2
Ⅰ	1840	1	1
Ⅰ	1841	2	2
Ⅰ	1842	1	1
Ⅰ	1843	1	1
Ⅰ	1846	1	1
Ⅰ	1847	1	1
Ⅰ	1853	1	1
Ⅰ	1861	2	2
Ⅰ	1863	4	3
Ⅰ	1864	1	1
Ⅰ	1865	1	1
Ⅰ	1870	1	1
Ⅰ	1871	1	1
Ⅰ	1873	1	1
Ⅰ	1875	1	1
Ⅰ	1876	1	1
Ⅰ	1879	4	3
Ⅰ	1883	1	1
Ⅰ	1885	2	2
Ⅰ	1889	1	1
Ⅰ	1890	2	1
Ⅰ	1891	4	3
Ⅰ	1892	1	1
Ⅰ	1894	1	1
Ⅰ	1895	3	2
Ⅰ	1897	1	1
Ⅰ	1899	2	2
Ⅰ	1904	1	1
Ⅰ	1907	3	2
Ⅰ	1910	5	1
Ⅰ	1911	2	2
Ⅰ	1914	1	1
Ⅰ	1920	14	1
Ⅰ	1925	2	1
Ⅰ	1927	1	1
Ⅰ	1928	1	1
Ⅰ	1929	4	3
Ⅰ	1930	4	4
Ⅰ	1931	6	2
Ⅰ	1932	3	2
Ⅰ	1934	3	2
Ⅰ	1935	3	1
Ⅰ	1937	2	1
Ⅰ	1940	19	2
Ⅰ	1941	2	1
Ⅰ	1942	20	3
Ⅰ	1944	2	1
Ⅰ	1945	2	1
Ⅰ	1946	14	2
Ⅰ	1947	2	2
Ⅰ	1948	2	2
Ⅰ	1949	4	4
Ⅰ	1950	18	5
Ⅰ	1951	4	2
Ⅰ	1952	9	4
Ⅰ	1953	7	4
Ⅰ	1954	1	1
Ⅰ	1955	7	3
Ⅰ	1956	7	4
Ⅰ	1957	5	2
Ⅰ	1958	125	8
Ⅰ	1959	31	3
Ⅰ	1960	27	5
Ⅰ	1961	23	7
Ⅰ	1962	9	4
Ⅰ	1963	143	12
Ⅰ	1964	13	8
Ⅰ	1965	60	11
Ⅰ	1966	139	12
Ⅰ	1967	42	7
Ⅰ	1968	213	10
Ⅰ	1969	45	11
