,hrf,deriv
0,0.0,0.0
1,2.45235423147,5.89642566546
2,47.8051416574,37.9557272262
3,146.420053511,53.6078095646
4,233.018706853,28.5944098195
5,264.896736216,8.15953891526
6,269.306493273,-2.50900954787
7,266.995947321,0.891643714609
8,272.551825857,3.82346615586
9,277.620840817,-0.917983458871
10,270.01147841,-5.575589865
11,255.489157064,-11.764315367
12,226.120511916,-11.6293178046
13,225.628475988,7.31941932769
14,238.790223495,3.17653868165
15,241.389851987,-0.298482357259
16,238.849843885,-3.21674005562
17,226.983553715,-6.79645292024
18,223.194987605,2.29592441338
19,226.181236204,-0.437846395125
20,229.108072506,2.95038522214
21,230.446977849,-1.98109824226
22,230.518574449,2.38701243257
23,239.078503526,5.77520898002
24,255.847594827,8.65901452876
25,259.668479046,-4.86057175502
26,244.957672262,-8.88189615628
27,232.331200438,-3.58595883076
28,229.81776405,-1.17479847232
29,226.692365015,-1.03647921607
30,229.906786806,2.97219861222
31,237.747195914,3.53178177698
32,246.421938956,5.0104203804
33,252.456227206,-1.47680208591
34,242.316184644,-5.78220232554
35,236.570504081,-0.112515490979
36,242.271518589,5.10183022682
37,256.429060985,6.40254532433
38,260.877702688,-2.17611609713
39,251.137282779,-8.0506745694
40,225.676654221,-14.6326719175
41,210.288529934,0.48965802399
42,223.538402589,7.78952763959
43,238.80454272,8.20341600402
44,245.380784032,-4.73060418661
45,229.853188494,-6.89463023564
46,226.279988551,2.2417131875
47,229.950764631,0.0464398097205
48,229.367893539,-1.60264522349
49,227.047716024,0.674997980111
50,232.86732609,4.40868809371
51,243.591204305,3.8332127299
52,242.261163721,-5.34158846159
53,226.403220105,-8.97821797116
54,216.58559206,0.21412196177
55,224.952532461,4.32587561005
56,232.644007238,4.98918778933
57,239.276903599,-1.33726880315
58,234.347602612,-1.48322942667
59,236.885621614,3.41756682149
60,247.862069773,5.63745926133
61,251.144343983,-3.20623326325
62,240.637743711,-7.73667374304
63,227.657138432,-2.66890854324
64,230.960256024,3.2553705915
65,236.44089358,1.45106868782
66,237.008140374,-1.14452982033
67,230.742230981,-3.22375029843
68,238.888436805,10.3078146806
69,260.941888574,9.38082320693
70,277.385870445,7.74848957614
71,287.696789446,0.149728573846
72,278.15904172,-10.0399770776
73,253.802690038,-11.836753008
74,239.338408313,-4.3037678912
75,229.099036875,-7.15648078281
76,216.715614614,-2.45297046023
77,222.964979094,7.0016777722
78,239.739960985,7.2356736026
79,245.465850434,-2.39338982052
80,232.346551094,-7.71743426819
81,219.582281163,-6.48981495203
82,212.519031499,1.2237460554
83,226.516981102,9.22625730048
84,238.861777823,1.40748357039
85,239.10424578,0.31348590174
86,233.455400125,-6.98344743
87,219.954728327,-4.07325112424
88,225.624894091,6.93179991075
89,232.307238924,-2.57998179295
90,223.343034097,-4.30168291391
91,212.567408941,-6.48671272431
92,208.051794303,1.88708830622
93,217.235123341,5.79198976071
94,229.449916133,5.79525809049
95,238.507287808,3.07845268733
96,244.290998636,1.79955237111
97,248.486995122,1.21504755052
98,241.06623614,-9.03701883043
99,225.640363044,-3.92422571811
100,226.454102487,3.27392077087
101,238.389663157,6.3612525774
102,240.089076496,-4.59079004034
103,234.027378748,0.269753264648
104,241.310153335,3.55320221725
105,231.603201682,-13.8755144586
106,198.677018764,-14.4417467896
107,181.281416506,-3.74263978466
108,178.656378841,-1.15685531884
109,181.983751751,5.80470090745
110,202.184411843,12.0130123404
111,222.159544698,3.78463561456
112,219.88888032,-1.26830816276
113,224.253081185,4.5382779065
114,230.911822168,0.546118954474
115,227.175326453,-2.13154149154
116,229.998895808,4.49228038899
117,236.856609129,0.84702139567
118,232.45862606,-4.61056957177
119,225.943428538,-1.73269161635
120,223.254645212,-3.00977671721
121,213.133334004,-4.19570330403
122,212.347713774,1.30135649148
123,215.02840927,1.53662986359
124,221.188593205,3.28891861965
125,227.386976775,2.74932236913
126,235.028642021,3.50315802436
127,239.798027473,1.60510517646
128,241.242932656,-0.00140664871994
129,243.41913133,1.1382607387
130,245.07251262,1.67265075973
131,256.497477961,6.96450153172
132,257.476059595,-5.43806803501
133,251.230907012,0.0212486856461
134,248.043022003,-5.60651278322
135,226.295743037,-12.1154668568
136,214.80804005,-2.28193080355
137,208.215272233,-4.38624692624
138,195.318673886,-7.33307968837
139,188.930610666,1.16529638068
140,191.959375826,0.664649362443
141,187.589225618,-4.72581494629
142,180.837041134,-0.371212149152
143,188.492992407,5.43248407166
144,203.953801102,9.6577190755
145,216.964722233,2.73716209176
146,220.001829215,-1.62622070872
147,210.056256777,-5.10042042201
148,213.482747822,7.42874783031
149,230.984384081,4.9600407314
150,227.419731482,-5.55166417361
151,219.160475408,-2.98747851497
152,214.578108793,-2.59083681211
153,210.163614582,-0.646708833725
154,208.533739465,-4.38623357214
155,197.830870754,-3.62773741731
156,195.33801219,1.74005702686
157,210.944459627,10.0580283869
158,222.32155078,0.388548148081
159,220.526501117,0.897184874944
160,229.772576051,6.10189510383
161,229.900791926,-8.91668953266
162,202.117227337,-14.4171071404
163,186.996922066,0.771980432826
164,204.5148489,12.818602474
165,226.572385047,7.54842574453
166,237.092758542,2.52046354425
