time,f0,intensity
0.01,0,0
0.02,0,0
0.03,0,0
0.04,124.85,0
0.05,287.55,0.01
0.06,282.68,0.04
0.07,269.26,0.08
0.08,266.47,0.1
0.09,262.78,0.11
0.1,259.35,0.13
0.11,256.31,0.13
0.12,252.63,0.11
0.13,251.98,0.09
0.14,250.64,0.05
0.15,252.82,0.02
0.16,255,0.01
0.17,257.19,0.01
0.18,259.37,0.01
0.19,261.55,0.02
0.2,263.74,0.03
0.21,265.92,0.03
0.22,268.1,0.09
0.23,270.03,0.14
0.24,267.6,0.15
0.25,272.52,0.13
0.26,278.04,0.13
0.27,285.94,0.14
0.28,292.26,0.13
0.29,298.08,0.11
0.3,299.69,0.11
0.31,299.88,0.12
0.32,299.06,0.12
0.33,296.23,0.12
0.34,294.31,0.11
0.35,295.49,0.11
0.36,288.81,0.11
0.37,281.57,0.11
0.38,274.98,0.11
0.39,271.74,0.1
0.4,272.83,0.1
0.41,275.47,0.1
0.42,277.13,0.1
0.43,281.18,0.1
0.44,284.7,0.1
0.45,284.64,0.08
0.46,275.76,0.04
0.47,277.2,0
0.48,278.64,0
0.49,280.08,0.01
0.5,281.51,0.02
0.51,282.95,0.02
0.52,284.39,0.04
0.53,283.79,0.09
0.54,268.62,0.11
0.55,257.7,0.12
0.56,249.53,0.14
0.57,240.68,0.13
0.58,232.08,0.11
0.59,225.03,0.1
0.6,216.59,0.06
0.61,217.74,0.02
0.62,188.97,0.01
0.63,54.08,0
0.64,93.3,0.04
0.65,258.25,0.09
0.66,259.56,0.11
0.67,257.44,0.12
0.68,255.01,0.14
0.69,255.44,0.14
0.7,254.53,0.15
0.71,251.97,0.15
0.72,248.91,0.15
0.73,245.5,0.15
0.74,240.43,0.13
0.75,236.46,0.12
0.76,233.12,0.12
0.77,231.89,0.1
0.78,231.22,0.08
0.79,233.07,0.07
0.8,234.6,0.04
0.81,236.25,0.02
0.82,234.18,0.01
0.83,232.1,0
0.84,230.03,0
0.85,227.96,0
0.86,225.89,0
0.87,223.81,0
0.88,221.74,0
0.89,219.67,0
0.9,217.59,0
0.91,215.52,0
0.92,213.45,0
0.93,211.37,0
0.94,209.3,0
0.95,207.23,0
0.96,205.15,0
0.97,203.08,0
0.98,201.01,0
0.99,198.93,0
1,196.86,0
1.01,194.79,0
1.02,192.72,0
1.03,190.64,0
1.04,188.57,0
1.05,226.76,0.01
1.06,350.41,0.06
1.07,336.49,0.09
1.08,340.02,0.09
1.09,319.97,0.15
1.1,192.67,0.18
1.11,195.81,0.18
1.12,200.47,0.17
1.13,204.28,0.16
1.14,206.54,0.14
1.15,207.74,0.13
1.16,208.47,0.13
1.17,206.41,0.12
1.18,202.94,0.11
1.19,198.15,0.1
1.2,193.74,0.09
1.21,189.82,0.09
1.22,233.36,0.09
1.23,353.33,0.09
1.24,335.98,0.09
1.25,319.77,0.1
1.26,303.04,0.11
1.27,289.07,0.11
1.28,275.19,0.11
1.29,263.08,0.1
1.3,255.71,0.11
1.31,250.21,0.11
1.32,246.09,0.11
1.33,240.42,0.11
1.34,235.7,0.1
1.35,227.7,0.08
1.36,216.08,0.06
1.37,213.77,0.04
1.38,222.56,0.02
1.39,231.35,0.03
1.4,240.15,0.03
1.41,248.94,0.04
1.42,255.39,0.1
1.43,254.27,0.13
1.44,247.32,0.14
1.45,240.95,0.13
1.46,237.63,0.13
1.47,235.6,0.13
1.48,232.85,0.13
1.49,228.55,0.12
1.5,227.84,0.13
1.51,227.77,0.14
1.52,225.81,0.11
1.53,225.92,0.06
1.54,229.67,0.03
1.55,233.41,0.02
1.56,237.15,0.03
1.57,240.9,0.07
1.58,240.91,0.1
1.59,234.78,0.1
1.6,230.53,0.1
1.61,228.19,0.1
1.62,226.81,0.1
1.63,225.67,0.11
1.64,223.65,0.12
1.65,222.06,0.12
1.66,221.24,0.12
1.67,220.67,0.12
1.68,220.34,0.12
1.69,219.98,0.12
1.7,219.19,0.11
1.71,217.54,0.11
1.72,215.07,0.1
1.73,212.31,0.1
1.74,210.21,0.1
1.75,209.34,0.1
1.76,209.68,0.1
1.77,209.66,0.1
1.78,208.37,0.09
1.79,202.76,0.07
1.8,199.17,0.04
1.81,207.88,0.02
1.82,211.91,0.05
1.83,201.7,0.06
1.84,194,0.06
1.85,190.68,0.07
1.86,188.55,0.06
1.87,188.88,0.05
1.88,193.39,0.03
1.89,197.89,0.03
1.9,202.4,0.03
