time,f0,intensity
0.01,0,0
0.02,0,0
0.03,0,0
0.04,151.11,0.04
0.05,310.18,0.1
0.06,306.77,0.14
0.07,307.32,0.15
0.08,308.73,0.15
0.09,310.43,0.14
0.1,312.08,0.13
0.11,311.72,0.13
0.12,313.52,0.11
0.13,315.01,0.08
0.14,314.38,0.08
0.15,314.49,0.07
0.16,310.86,0.07
0.17,306.44,0.08
0.18,301.14,0.08
0.19,292.76,0.09
0.2,281.46,0.1
0.21,266.48,0.1
0.22,250.04,0.09
0.23,232.02,0.09
0.24,210.4,0.08
0.25,193.7,0.07
0.26,187.23,0.06
0.27,183.63,0.05
0.28,182.19,0.04
0.29,188.25,0.03
0.3,194.32,0.03
0.31,200.38,0.03
0.32,206.44,0.03
0.33,212.51,0.03
0.34,218.57,0.03
0.35,224.63,0.04
0.36,230.7,0.03
0.37,236.76,0.03
0.38,242.4,0.07
0.39,243.75,0.1
0.4,247.8,0.11
0.41,250.51,0.09
0.42,242.87,0.05
0.43,243.82,0.01
0.44,244.76,0
0.45,245.71,0
0.46,246.66,0.01
0.47,247.6,0.03
0.48,248.55,0.05
0.49,249.49,0.06
0.5,250.44,0.05
0.51,251.38,0.04
0.52,252.4,0.07
0.53,254.43,0.1
0.54,260.79,0.1
0.55,271.93,0.1
0.56,281.58,0.1
0.57,287.25,0.1
0.58,290.85,0.1
0.59,291.02,0.1
0.6,288.82,0.1
0.61,279.85,0.1
0.62,268.61,0.1
0.63,254.71,0.11
0.64,239.27,0.12
0.65,227.79,0.12
0.66,214.38,0.12
0.67,201.55,0.11
0.68,192.45,0.1
0.69,196.17,0.09
0.7,200.29,0.08
0.71,205.71,0.08
0.72,217.01,0.07
0.73,229.16,0.07
0.74,246.89,0.07
0.75,271.54,0.09
0.76,284.69,0.1
0.77,292.7,0.11
0.78,300.37,0.11
0.79,305.72,0.11
0.8,310.81,0.1
0.81,310.57,0.1
0.82,309.55,0.1
0.83,306.02,0.1
0.84,300.02,0.1
0.85,289.62,0.1
0.86,278.56,0.1
0.87,265.93,0.1
0.88,253.96,0.09
0.89,244.21,0.07
0.9,240.89,0.04
0.91,237.57,0.05
0.92,234.25,0.07
0.93,230.93,0.09
0.94,227.61,0.11
0.95,224.3,0.1
0.96,220.98,0.08
0.97,217.66,0.06
0.98,214.34,0.04
0.99,209.75,0.09
1,200.01,0.11
1.01,188.93,0.1
1.02,182.62,0.1
1.03,179.72,0.1
1.04,176.8,0.09
1.05,172.57,0.08
1.06,168.06,0.05
1.07,169.33,0.03
1.08,176.18,0.04
1.09,170.89,0.05
1.1,166.73,0.06
1.11,169.66,0.07
1.12,172.11,0.07
1.13,175.25,0.06
1.14,176.65,0.05
1.15,171.71,0.03
1.16,172.16,0.03
1.17,172.61,0.03
1.18,173.05,0.04
1.19,173.5,0.04
1.2,173.95,0.04
1.21,174.4,0.04
1.22,174.84,0.04
1.23,175.29,0.04
1.24,175.74,0.03
1.25,176.19,0.02
1.26,176.63,0.04
1.27,175.25,0.07
1.28,170.43,0.07
1.29,168.73,0.07
1.3,167.38,0.07
1.31,159.39,0.04
1.32,138.99,0.01
1.33,118.58,0.01
1.34,98.18,0.01
1.35,84.03,0.01
1.36,90.6,0.02
1.37,102.04,0.02
1.38,151.47,0.01
1.39,264.31,0.05
1.4,217.68,0.08
1.41,169.34,0.08
1.42,166.13,0.08
1.43,162.93,0.08
1.44,161.64,0.08
1.45,161.71,0.07
1.46,161.71,0.07
1.47,161.62,0.06
1.48,158.88,0.05
1.49,154.56,0.05
1.5,151.92,0.04
1.51,152.47,0.04
1.52,156,0.04
1.53,162.8,0.04
1.54,165.68,0.03
1.55,138.35,0.01
1.56,160.59,0.01
1.57,258.63,0.01
1.58,241.44,0
1.59,282.85,0
1.6,282.65,0
1.61,282.46,0
1.62,282.27,0
1.63,282.08,0
1.64,281.89,0
1.65,281.7,0
1.66,281.51,0
1.67,281.32,0
1.68,281.13,0
1.69,280.94,0
1.7,280.75,0
1.71,280.56,0
1.72,280.37,0
