time,f0,intensity
3.13,238.89,0.12
3.14,230.45,0.1
3.15,222.84,0.08
3.16,217.1,0.07
3.17,212.16,0.06
3.18,208.57,0.06
3.19,206.05,0.05
3.2,205.53,0.05
3.21,207.87,0.06
3.22,212.27,0.07
3.23,220.94,0.08
3.24,230.34,0.1
3.25,238.03,0.11
3.26,240.21,0.08
3.27,246.08,0.05
3.28,265.31,0.03
3.29,290.57,0.06
3.3,297.92,0.1
3.31,297.54,0.11
3.32,296.09,0.12
3.33,294.77,0.11
3.34,292.13,0.1
3.35,286.67,0.09
3.36,280.8,0.07
3.37,274.56,0.06
3.38,264.19,0.06
3.39,250.64,0.06
3.4,228.36,0.07
3.41,208.36,0.07
3.42,193.24,0.07
3.43,175.18,0.05
3.44,159.57,0.05
3.45,154.67,0.06
3.46,152.18,0.06
3.47,149.48,0.04
3.48,151.4,0.04
3.49,160.99,0.04
3.5,162.88,0.03
3.51,169.49,0.02
3.52,177.95,0.01
3.53,186.42,0.02
3.54,194.88,0.03
3.55,203.34,0.03
3.56,211.8,0.03
3.57,220.26,0.03
3.58,228.72,0.04
3.59,237.18,0.03
3.6,245.64,0.02
3.61,254.1,0.01
3.62,262.57,0.05
3.63,268.51,0.12
3.64,269.85,0.15
3.65,273.27,0.15
3.66,276.39,0.13
3.67,281.57,0.12
3.68,286.08,0.12
3.69,290.42,0.11
3.7,294.02,0.09
3.71,299.21,0.08
3.72,302.79,0.07
3.73,303.77,0.06
3.74,304.46,0.05
3.75,287.69,0.03
3.76,267.8,0.03
3.77,247.91,0.03
3.78,228.03,0.03
3.79,208.14,0.04
3.8,188.25,0.03
3.81,168.37,0.03
3.82,148.48,0.02
3.83,128.59,0.02
3.84,228.73,0.08
3.85,240.36,0.11
3.86,227.3,0.09
3.87,208.44,0.08
3.88,199.57,0.07
3.89,178.9,0.05
3.9,166.99,0.04
3.91,177.11,0.02
3.92,172.57,0.01
3.93,165.84,0
3.94,159.12,0
3.95,152.39,0
3.96,145.66,0
3.97,138.93,0
3.98,132.21,0
3.99,125.48,0
4,118.75,0
4.01,112.03,0
4.02,105.3,0
4.03,98.57,0
4.04,59.87,0
4.05,131.98,0
4.06,100.19,0
4.07,108.36,0
4.08,101.05,0
4.09,56.52,0
4.1,86.76,0
4.11,92.96,0
4.12,96.92,0
4.13,100.89,0
4.14,104.85,0
4.15,108.82,0
4.16,112.78,0
4.17,116.75,0
4.18,120.71,0
4.19,124.67,0
4.2,128.64,0
4.21,132.6,0
4.22,136.57,0
4.23,140.53,0
4.24,144.5,0
4.25,148.46,0
4.26,152.43,0
4.27,156.39,0
4.28,160.36,0
4.29,164.32,0
4.3,168.29,0
4.31,172.25,0
4.32,176.22,0
4.33,180.18,0
4.34,184.14,0
4.35,188.11,0
4.36,192.07,0
4.37,196.04,0
4.38,200,0
4.39,203.97,0
4.4,207.93,0
4.41,211.9,0
4.42,215.86,0
4.43,219.83,0
4.44,223.79,0
4.45,227.76,0
4.46,231.72,0
4.47,235.69,0
4.48,239.65,0
4.49,243.62,0
4.5,247.58,0.01
4.51,251.54,0.02
4.52,255.51,0.02
4.53,259.47,0.02
4.54,263.44,0.02
4.55,267.15,0.07
4.56,263.33,0.13
4.57,261.39,0.18
4.58,259.48,0.2
4.59,259.37,0.18
4.6,258,0.13
4.61,250.65,0.07
4.62,252.48,0.02
4.63,254.31,0.01
4.64,256.14,0.01
4.65,257.97,0.02
4.66,259.79,0.03
4.67,261.21,0.08
4.68,256.34,0.12
4.69,253.72,0.13
4.7,250.27,0.12
4.71,247.37,0.12
4.72,245.99,0.11
4.73,242.39,0.09
4.74,238.22,0.06
4.75,237.34,0.03
4.76,236.45,0.02
4.77,235.57,0.02
4.78,234.69,0.02
4.79,233.8,0.02
4.8,232.92,0.02
4.81,232.04,0.02
4.82,231.15,0.02
4.83,230.27,0.01
4.84,229.39,0.01
4.85,227.73,0.07
4.86,219.22,0.11
4.87,211.53,0.15
4.88,205.34,0.16
4.89,197.7,0.15
4.9,192.05,0.13
4.91,188.77,0.12
4.92,187.36,0.1
4.93,186.44,0.07
4.94,189.05,0.04
4.95,196.93,0.02
4.96,204.8,0.01
4.97,212.68,0.01
4.98,220.55,0.03
4.99,228.42,0.04
5,236.3,0.04
5.01,244.17,0.02
5.02,250.77,0.08
5.03,249.6,0.12
5.04,248.96,0.13
5.05,247.7,0.15
5.06,245.33,0.15
5.07,242.82,0.14
5.08,238.18,0.14
5.09,235.94,0.13
5.1,234.56,0.13
5.11,232.77,0.12
5.12,231.17,0.11
5.13,229.29,0.1
5.14,215.77,0.08
5.15,166.33,0.06
5.16,180.46,0.04
5.17,194.59,0.02
5.18,208.72,0
5.19,222.86,0
5.2,236.99,0
5.21,251.12,0
5.22,265.25,0
5.23,279.39,0
5.24,293.52,0
5.25,307.65,0
5.26,321.78,0
5.27,335.92,0.02
5.28,346.7,0.13
5.29,343.99,0.23
5.3,341.4,0.23
5.31,339.15,0.18
5.32,336.98,0.16
5.33,335.28,0.13
5.34,333.55,0.12
5.35,328.12,0.12
5.36,320.77,0.13
5.37,312.47,0.13
5.38,302.25,0.14
5.39,291.22,0.11
5.4,267.84,0.04
5.41,244.46,0
5.42,221.08,0
5.43,197.7,0
5.44,174.32,0
5.45,150.94,0
5.46,154.58,0.07
5.47,221.23,0.11
5.48,216.3,0.14
5.49,212.86,0.15
5.5,210.8,0.12
5.51,208.46,0.07
5.52,207.27,0.02
5.53,206.08,0
5.54,204.89,0.02
5.55,203.7,0.03
5.56,202.51,0.01
5.57,201.31,0.01
5.58,200.12,0.01
5.59,198.93,0.01
5.6,197.74,0.01
5.61,196.4,0.03
5.62,194.5,0.08
5.63,192.17,0.11
5.64,189.45,0.11
5.65,185.09,0.08
5.66,180.69,0.05
5.67,180.68,0.03
5.68,145.93,0.01
5.69,103.69,0.06
5.7,196.23,0.11
5.71,193.35,0.12
5.72,192.13,0.12
5.73,192.71,0.1
5.74,193.44,0.07
5.75,193.86,0.03
5.76,194.27,0.03
5.77,194.68,0.04
5.78,195.1,0.03
5.79,195.51,0.03
5.8,195.93,0.03
5.81,196.34,0.03
5.82,196.75,0.02
5.83,197.17,0.04
5.84,197.08,0.1
5.85,195.37,0.15
5.86,192.25,0.17
5.87,188.99,0.16
5.88,186.44,0.14
5.89,184.36,0.12
5.9,182.97,0.11
5.91,183.42,0.1
5.92,185.86,0.09
5.93,190.21,0.08
5.94,196.18,0.06
5.95,184.43,0.04
5.96,136.56,0.01
5.97,101.92,0
5.98,102.8,0
5.99,103.68,0
6,104.56,0
6.01,105.44,0
6.02,106.32,0
6.03,107.2,0
6.04,108.08,0
6.05,108.96,0
6.06,109.84,0
6.07,110.72,0
6.08,111.6,0
6.09,112.48,0
6.1,113.36,0
6.11,114.24,0
6.12,115.12,0
6.13,116,0
6.14,116.88,0
6.15,117.76,0
6.16,118.65,0
6.17,119.53,0
6.18,120.41,0
6.19,121.29,0
6.2,122.17,0
6.21,123.05,0
6.22,123.93,0
6.23,124.81,0
6.24,125.69,0
6.25,126.57,0
6.26,127.45,0
6.27,128.33,0
6.28,129.21,0
6.29,130.09,0
6.3,130.97,0
6.31,131.85,0
6.32,132.73,0
6.33,133.61,0
6.34,134.49,0
6.35,135.37,0
6.36,136.25,0
6.37,137.13,0
6.38,138.01,0
6.39,138.89,0
6.4,139.77,0
6.41,140.65,0
6.42,141.53,0
6.43,142.41,0
6.44,143.29,0
6.45,144.17,0
6.46,145.05,0
6.47,145.93,0
6.48,146.81,0
6.49,147.69,0
6.5,148.57,0
6.51,149.45,0
6.52,150.33,0
6.53,151.21,0
6.54,152.09,0
6.55,152.97,0
6.56,153.85,0
6.57,154.73,0
6.58,155.61,0
6.59,156.49,0
6.6,157.37,0
6.61,158.25,0
6.62,159.13,0
6.63,160.01,0
6.64,160.9,0
6.65,161.78,0
6.66,162.66,0
6.67,163.54,0
6.68,164.42,0
6.69,165.3,0
6.7,166.18,0
6.71,167.06,0
6.72,167.94,0
6.73,168.82,0
6.74,169.7,0
6.75,170.58,0
6.76,171.46,0
6.77,172.34,0
6.78,173.22,0
6.79,174.1,0
6.8,174.98,0
6.81,175.86,0
6.82,176.74,0
6.83,177.62,0
6.84,178.5,0
6.85,179.38,0
6.86,180.26,0
6.87,181.14,0
6.88,182.02,0
6.89,182.9,0
6.9,183.78,0
6.91,184.66,0
6.92,185.54,0
6.93,186.42,0
6.94,187.3,0
6.95,188.18,0
6.96,189.06,0
6.97,189.94,0
6.98,190.82,0
6.99,191.7,0
7,192.58,0
7.01,193.46,0
7.02,194.34,0
7.03,195.22,0
7.04,196.1,0
7.05,196.98,0.01
7.06,197.86,0.02
7.07,198.74,0.03
7.08,199.62,0.03
7.09,200.5,0.03
7.1,201.38,0.03
7.11,202.26,0.03
7.12,203.14,0.03
7.13,204.03,0.02
7.14,204.91,0.01
7.15,205.79,0.01
7.16,206.67,0.05
7.17,202.26,0.11
7.18,195.25,0.14
7.19,188.04,0.14
7.2,180.39,0.11
7.21,174.65,0.1
7.22,170.69,0.11
7.23,168.36,0.09
7.24,167.42,0.08
7.25,168.23,0.09
7.26,170.61,0.09
7.27,173.36,0.09
7.28,176.18,0.09
7.29,181.99,0.09
7.3,188.88,0.09
7.31,196.49,0.09
7.32,205.53,0.09
7.33,216.56,0.09
7.34,229.22,0.09
7.35,245,0.1
7.36,256.53,0.11
7.37,264.4,0.11
7.38,270.56,0.11
7.39,273.57,0.1
7.4,270.2,0.09
7.41,262.25,0.07
7.42,248.62,0.06
7.43,231.62,0.04
7.44,200.71,0.03
7.45,191.18,0.02
7.46,128.65,0.01
7.47,90.59,0.01
7.48,95.36,0.01
7.49,99.02,0.01
7.5,98.6,0
7.51,98.17,0
7.52,97.74,0
7.53,97.31,0
7.54,96.88,0
7.55,96.45,0
7.56,96.02,0
7.57,95.59,0
7.58,95.16,0
7.59,94.73,0
7.6,94.3,0
7.61,93.87,0
7.62,93.45,0
7.63,93.02,0
7.64,92.59,0
7.65,92.16,0
7.66,91.73,0
7.67,91.3,0
7.68,90.87,0
7.69,90.44,0
7.7,90.01,0
7.71,89.58,0
7.72,89.15,0
7.73,88.73,0
7.74,88.3,0
7.75,87.87,0
7.76,87.44,0
7.77,87.01,0
7.78,86.58,0
7.79,86.15,0
7.8,85.72,0
7.81,85.29,0
7.82,84.86,0
7.83,84.43,0
7.84,84.01,0
7.85,83.58,0
7.86,83.15,0
7.87,82.72,0
7.88,82.29,0
7.89,81.86,0
7.9,81.43,0
7.91,81,0
7.92,80.57,0
7.93,80.14,0
7.94,79.71,0
7.95,79.28,0
7.96,78.86,0
7.97,78.43,0
7.98,78,0
7.99,180.11,0.01
8,195.22,0.05
8.01,189.58,0.08
8.02,185.27,0.1
