time,f0,intensity
0.01,0,0
0.02,177.61,0.03
0.03,334.6,0.08
0.04,337.16,0.11
0.05,345.69,0.12
0.06,354.37,0.14
0.07,182.91,0.15
0.08,186.15,0.15
0.09,190.37,0.16
0.1,193.43,0.17
0.11,194.03,0.17
0.12,196.75,0.14
0.13,198.29,0.09
0.14,197.46,0.05
0.15,216.58,0.02
0.16,235.69,0.01
0.17,254.81,0.01
0.18,273.93,0.01
0.19,293.05,0.01
0.2,312.16,0.01
0.21,331.28,0.01
0.22,349.43,0.03
0.23,348.19,0.09
0.24,338.44,0.12
0.25,328.13,0.14
0.26,318.32,0.15
0.27,311.3,0.17
0.28,305.57,0.18
0.29,301.19,0.18
0.3,297.75,0.18
0.31,294.95,0.18
0.32,293.85,0.18
0.33,293.12,0.18
0.34,292.25,0.16
0.35,291.94,0.15
0.36,290.55,0.15
0.37,290.45,0.15
0.38,291.99,0.14
0.39,292.99,0.14
0.4,296.57,0.12
0.41,300.79,0.11
0.42,301.91,0.09
0.43,304.54,0.08
0.44,307.05,0.06
0.45,311.28,0.04
0.46,316.29,0.02
0.47,314.92,0.01
0.48,313.54,0
0.49,312.17,0
0.5,310.8,0
0.51,309.43,0
0.52,308.05,0
0.53,306.68,0
0.54,305.31,0
0.55,303.94,0
0.56,302.56,0
0.57,301.19,0
0.58,299.82,0
0.59,298.45,0
0.6,297.07,0
0.61,295.7,0
0.62,294.33,0
0.63,292.96,0
0.64,291.58,0
0.65,290.21,0
0.66,288.84,0
0.67,287.47,0
0.68,286.09,0
0.69,284.72,0
0.7,283.35,0
0.71,281.98,0
0.72,280.61,0
0.73,279.23,0
0.74,277.86,0
0.75,276.49,0
0.76,275.12,0
0.77,273.74,0
0.78,272.37,0
0.79,271,0
0.8,269.63,0
0.81,268.25,0
0.82,266.88,0
0.83,265.51,0
0.84,264.14,0
0.85,262.76,0
0.86,261.39,0
0.87,260.02,0
0.88,258.65,0
0.89,257.27,0
0.9,255.9,0
0.91,254.53,0
0.92,253.16,0
0.93,251.78,0
0.94,250.41,0
0.95,249.04,0
0.96,247.67,0
0.97,246.3,0
0.98,244.92,0
0.99,243.55,0
1,242.18,0
1.01,240.81,0
1.02,239.43,0.01
1.03,238.06,0.02
1.04,236.69,0.03
1.05,235.32,0.03
1.06,233.94,0.03
1.07,232.57,0.02
1.08,231.2,0.03
1.09,229.44,0.1
1.1,225.79,0.13
1.11,218.95,0.12
1.12,209.15,0.1
1.13,200.8,0.09
1.14,195.93,0.08
1.15,195.01,0.06
1.16,192,0.05
1.17,187.65,0.05
1.18,183.07,0.05
1.19,182.95,0.06
1.2,184.82,0.07
1.21,190.65,0.08
1.22,193.39,0.09
1.23,198.54,0.09
1.24,206.8,0.08
1.25,222.25,0.09
1.26,239.99,0.1
1.27,257.58,0.09
1.28,273.31,0.07
1.29,285.83,0.06
1.3,289.99,0.04
1.31,280.92,0.01
1.32,271.85,0.01
1.33,262.77,0.02
1.34,253.7,0.02
1.35,244.63,0.02
1.36,235.55,0.01
1.37,229.6,0.06
1.38,226.76,0.09
1.39,213.74,0.1
1.4,197.58,0.1
1.41,183.96,0.1
1.42,176.09,0.09
1.43,174.37,0.08
1.44,175.82,0.05
1.45,178.46,0.03
1.46,181.09,0.02
1.47,183.73,0.04
1.48,186.36,0.04
1.49,189,0.03
1.5,191.63,0.03
1.51,194.27,0.02
1.52,203.49,0.07
1.53,216.59,0.12
1.54,213.8,0.13
1.55,212.9,0.13
1.56,213.74,0.13
1.57,215.06,0.13
1.58,216.08,0.11
1.59,215.44,0.09
1.6,214.39,0.08
1.61,215.16,0.07
1.62,218.16,0.06
1.63,223.11,0.05
1.64,230.95,0.05
1.65,239.52,0.04
1.66,241.21,0.02
1.67,234.88,0.01
1.68,232.85,0
1.69,230.82,0
1.7,228.78,0
1.71,226.75,0
1.72,224.72,0
1.73,222.69,0
1.74,220.65,0
1.75,218.62,0
1.76,216.59,0
1.77,214.55,0
1.78,212.52,0
1.79,210.49,0
1.8,208.46,0
1.81,206.42,0
1.82,204.39,0
1.83,202.36,0
1.84,200.32,0
1.85,198.29,0
1.86,196.26,0
1.87,194.22,0
1.88,192.19,0
1.89,190.16,0
1.9,188.13,0
1.91,186.09,0
1.92,184.06,0
1.93,182.03,0
1.94,179.99,0
1.95,177.96,0
1.96,175.93,0
1.97,173.9,0
1.98,171.86,0
1.99,169.83,0
2,167.8,0
2.01,165.76,0
2.02,163.73,0
2.03,161.7,0
2.04,159.66,0
2.05,157.63,0
2.06,155.6,0
2.07,153.57,0
2.08,151.53,0
2.09,149.5,0
2.1,147.47,0
2.11,145.43,0
2.12,143.4,0
2.13,141.37,0
2.14,139.33,0
2.15,137.3,0
2.16,135.27,0
2.17,133.24,0
2.18,131.2,0
2.19,129.17,0
2.2,127.14,0
2.21,125.1,0
2.22,123.07,0
2.23,121.04,0
2.24,119.01,0
2.25,116.97,0
2.26,114.94,0
2.27,112.91,0
2.28,110.87,0
2.29,108.84,0
2.3,106.81,0
2.31,104.77,0
2.32,102.74,0
2.33,229.11,0.01
2.34,320.89,0.06
2.35,298.5,0.12
2.36,295.97,0.16
2.37,297.1,0.2
2.38,300.02,0.2
2.39,308.66,0.18
2.4,328.9,0.16
2.41,256.59,0.16
2.42,200.93,0.17
2.43,229.64,0.18
2.44,252.76,0.19
2.45,264.63,0.15
2.46,272.97,0.07
2.47,281.7,0.03
2.48,290.43,0.03
2.49,299.17,0.03
2.5,307.9,0.03
2.51,316.64,0.02
2.52,325.37,0.06
2.53,186.59,0.11
2.54,165.2,0.13
2.55,173.71,0.11
2.56,160.87,0.1
2.57,133.02,0.08
2.58,97.32,0.07
2.59,155.16,0.09
2.6,194.34,0.1
2.61,195.12,0.1
2.62,205.58,0.1
2.63,232.06,0.09
2.64,199.07,0.06
2.65,168.69,0.03
2.66,170.37,0.02
