time,f0,intensity
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0.01
0.06,0,0.02
0.07,0,0.02
0.08,0,0.01
0.09,0,0.01
0.1,299.12,0.08
0.11,292.11,0.13
0.12,291.13,0.14
0.13,290.09,0.13
0.14,287.76,0.11
0.15,281.82,0.08
0.16,272.82,0.06
0.17,264.71,0.05
0.18,256.35,0.03
0.19,259.85,0.02
0.2,263.35,0.02
0.21,266.85,0.03
0.22,270.35,0.04
0.23,273.85,0.04
0.24,277.35,0.05
0.25,280.84,0.05
0.26,284.34,0.05
0.27,287.84,0.05
0.28,291.34,0.03
0.29,294.84,0.02
0.3,298.31,0.08
0.31,301,0.13
0.32,299.83,0.13
0.33,299.12,0.13
0.34,298.8,0.12
0.35,298.21,0.12
0.36,300.16,0.12
0.37,303.4,0.11
0.38,306.71,0.1
0.39,309.13,0.08
0.4,309.82,0.07
0.41,310.74,0.06
0.42,310,0.06
0.43,311.18,0.06
0.44,314.88,0.06
0.45,318.8,0.05
0.46,322.83,0.05
0.47,327.82,0.05
0.48,335.64,0.06
0.49,337.9,0.05
0.5,327.95,0.05
0.51,320.98,0.05
0.52,315.52,0.05
0.53,310.35,0.06
0.54,305.17,0.06
0.55,295.55,0.07
0.56,280.73,0.08
0.57,264.11,0.09
0.58,248.3,0.1
0.59,234.29,0.09
0.6,222.75,0.08
0.61,217.47,0.07
0.62,206.69,0.05
0.63,195.11,0.04
0.64,189.66,0.03
0.65,178.93,0.02
0.66,127.88,0.01
0.67,166.98,0.01
0.68,93.9,0
0.69,94.39,0
0.7,94.88,0
0.71,95.36,0
0.72,95.85,0
0.73,96.34,0
0.74,96.82,0
0.75,97.31,0
0.76,97.79,0
0.77,98.28,0
0.78,98.77,0
0.79,99.25,0
0.8,99.74,0
0.81,100.23,0
0.82,100.71,0
0.83,101.2,0
0.84,101.69,0
0.85,102.17,0
0.86,102.66,0
0.87,103.14,0
0.88,103.63,0
0.89,104.12,0
0.9,104.6,0
0.91,105.09,0
0.92,105.58,0
0.93,106.06,0
0.94,106.55,0
0.95,107.03,0
0.96,107.52,0.01
0.97,130.84,0.02
0.98,211.21,0.05
0.99,205.68,0.06
1,202.67,0.07
1.01,205.35,0.08
1.02,208.23,0.14
1.03,210.81,0.16
1.04,206.99,0.15
1.05,203.59,0.13
1.06,200.05,0.12
1.07,197.03,0.11
1.08,196.21,0.1
1.09,199.85,0.09
1.1,211.78,0.09
1.11,228.29,0.1
1.12,242.94,0.1
1.13,256.6,0.09
1.14,270.3,0.07
1.15,285.87,0.05
1.16,298.63,0.04
1.17,302.31,0.03
1.18,295.44,0.02
1.19,288.58,0.02
1.2,281.72,0.03
1.21,274.86,0.04
1.22,268,0.04
1.23,261.14,0.04
1.24,254.28,0.04
1.25,247.41,0.04
1.26,240.55,0.04
1.27,233.69,0.04
1.28,226.83,0.04
1.29,219.97,0.03
1.3,211.84,0.06
1.31,202.75,0.09
1.32,199.73,0.1
1.33,200.1,0.11
1.34,202.22,0.12
1.35,205.14,0.12
1.36,207.45,0.12
1.37,208.35,0.11
1.38,210.95,0.1
1.39,215.33,0.09
1.4,221.95,0.08
1.41,232.52,0.06
1.42,245.39,0.05
1.43,255.55,0.04
1.44,272.72,0.02
1.45,296.16,0.01
1.46,291.24,0
1.47,286.33,0
1.48,281.42,0.01
1.49,276.5,0.01
1.5,271.59,0.01
1.51,266.68,0.02
1.52,261.77,0.02
1.53,256.85,0.02
1.54,251.94,0.01
1.55,247.03,0.02
1.56,242.11,0.02
1.57,237.2,0.02
1.58,232.29,0.02
1.59,227.37,0.02
1.6,222.46,0.01
1.61,217.55,0.06
1.62,212.87,0.11
1.63,207.17,0.16
1.64,199.08,0.18
1.65,190.91,0.16
1.66,182.16,0.14
1.67,174.32,0.12
1.68,168.61,0.11
1.69,162.26,0.1
1.7,155.94,0.09
1.71,130.75,0.05
1.72,82.38,0.01
1.73,64.48,0
1.74,73.4,0
1.75,82.32,0
1.76,91.25,0
1.77,100.17,0.01
1.78,173.44,0.02
1.79,280.04,0.06
1.8,290.43,0.09
1.81,296.77,0.1
1.82,307.48,0.12
1.83,317.37,0.12
1.84,322.86,0.13
1.85,323.51,0.13
1.86,320.83,0.13
1.87,313.59,0.12
1.88,302.87,0.1
1.89,288.26,0.09
1.9,269.83,0.07
1.91,252.35,0.07
1.92,239.06,0.06
1.93,228.12,0.05
