time,f0,intensity
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0.01
0.11,0,0.01
0.12,0,0.02
0.13,0,0.03
0.14,0,0.02
0.15,298.03,0.04
0.16,306.3,0.09
0.17,309.74,0.14
0.18,312.89,0.15
0.19,312.71,0.15
0.2,312.73,0.13
0.21,309.65,0.09
0.22,313.09,0.03
0.23,316.53,0.01
0.24,319.97,0.01
0.25,323.42,0.01
0.26,326.86,0.01
0.27,330.3,0.01
0.28,333.74,0.01
0.29,337.18,0.01
0.3,340.62,0.01
0.31,344.06,0.01
0.32,347.5,0.01
0.33,350.94,0.02
0.34,353.65,0.07
0.35,347.73,0.11
0.36,345.01,0.13
0.37,340.27,0.15
0.38,335.96,0.16
0.39,332.28,0.14
0.4,324.72,0.08
0.41,327.29,0.02
0.42,329.87,0
0.43,332.45,0
0.44,335.03,0.01
0.45,337.6,0.02
0.46,340.18,0.03
0.47,342.76,0.02
0.48,345.44,0.08
0.49,348.64,0.12
0.5,349.19,0.15
0.51,350.38,0.16
0.52,351.17,0.15
0.53,352.67,0.12
0.54,350.68,0.09
0.55,342.99,0.08
0.56,330.81,0.09
0.57,322.54,0.09
0.58,313,0.1
0.59,301.36,0.11
0.6,289.71,0.12
0.61,261.55,0.1
0.62,154.4,0.1
0.63,268.53,0.14
0.64,261.27,0.14
0.65,254.12,0.14
0.66,248.94,0.14
0.67,244.38,0.13
0.68,240.3,0.11
0.69,234.4,0.09
0.7,227.74,0.08
0.71,224.59,0.08
0.72,221.69,0.08
0.73,220.85,0.09
0.74,218.55,0.09
0.75,215.49,0.09
0.76,210.87,0.09
0.77,205.55,0.08
0.78,202.37,0.07
0.79,201.99,0.06
0.8,201.93,0.06
0.81,200.35,0.05
0.82,197.4,0.04
0.83,184.05,0.02
0.84,170.7,0
0.85,157.35,0.01
0.86,143.99,0.02
0.87,130.64,0.01
0.88,144.38,0.05
0.89,242.84,0.09
0.9,242.63,0.1
0.91,241.87,0.1
0.92,240.83,0.1
0.93,239.22,0.11
0.94,236.84,0.11
0.95,234.22,0.12
0.96,231.49,0.12
0.97,228.98,0.11
0.98,224.92,0.09
0.99,219.42,0.06
1,216.89,0.03
1.01,219.41,0.01
1.02,221.92,0.01
1.03,228.34,0.08
1.04,242.51,0.12
1.05,240.38,0.13
1.06,238.81,0.13
1.07,236.48,0.12
1.08,235.22,0.12
1.09,234.78,0.11
1.1,235.11,0.11
1.11,234.85,0.11
1.12,234.74,0.11
1.13,235.74,0.12
1.14,235.97,0.12
1.15,236.06,0.11
1.16,236.25,0.1
1.17,237,0.09
1.18,239.13,0.08
1.19,241.96,0.06
1.2,209.01,0.04
1.21,116.98,0.01
1.22,120.97,0
1.23,123.06,0
1.24,125.15,0
1.25,127.24,0
1.26,129.33,0
1.27,131.42,0
1.28,133.51,0
1.29,135.6,0
1.3,137.69,0
1.31,139.78,0
1.32,141.87,0
1.33,143.96,0
1.34,146.05,0
1.35,148.14,0
1.36,150.23,0
1.37,152.32,0
1.38,154.4,0
1.39,156.49,0
1.4,158.58,0
1.41,160.67,0
1.42,162.76,0
1.43,164.85,0
1.44,166.94,0
1.45,169.03,0
1.46,171.12,0
1.47,173.21,0
1.48,175.3,0
1.49,177.39,0
1.5,179.48,0
1.51,181.57,0
1.52,183.66,0
1.53,185.75,0
1.54,187.84,0
1.55,189.93,0
1.56,192.02,0
1.57,194.11,0
1.58,196.2,0
1.59,198.28,0
1.6,200.37,0
1.61,202.46,0
1.62,204.55,0
1.63,206.64,0
1.64,208.73,0
1.65,210.82,0
1.66,212.91,0
1.67,215,0
1.68,217.09,0
1.69,219.18,0
1.7,221.27,0
1.71,223.36,0.01
1.72,225.45,0.01
1.73,227.54,0.02
1.74,229.63,0.03
1.75,229.94,0.1
1.76,228.25,0.15
1.77,226.51,0.15
1.78,224.14,0.14
1.79,223.72,0.14
1.8,225.09,0.14
1.81,228.97,0.13
