time,f0,intensity
2.78,162.59,0.03
2.79,170.94,0.03
2.8,175,0.02
2.81,194.26,0.01
2.82,220.87,0.01
2.83,197.75,0
2.84,180.89,0
2.85,182.36,0
2.86,183.82,0
2.87,185.28,0
2.88,186.74,0
2.89,188.21,0
2.9,189.67,0
2.91,191.13,0
2.92,192.6,0
2.93,194.06,0
2.94,195.52,0
2.95,196.99,0
2.96,198.45,0
2.97,199.91,0
2.98,201.38,0
2.99,202.84,0
3,204.3,0
3.01,205.77,0
3.02,207.23,0
3.03,208.69,0
3.04,210.15,0
3.05,211.62,0
3.06,213.08,0
3.07,214.54,0
3.08,216.01,0
3.09,217.47,0
3.1,218.93,0
3.11,220.4,0
3.12,221.86,0
3.13,223.32,0
3.14,224.79,0
3.15,226.25,0
3.16,227.71,0
3.17,229.18,0
3.18,230.64,0
3.19,232.1,0
3.2,233.56,0
3.21,235.03,0
3.22,236.49,0
3.23,237.95,0
3.24,239.42,0
3.25,240.88,0
3.26,242.34,0
3.27,243.81,0
3.28,245.27,0
3.29,246.73,0
3.3,248.2,0
3.31,249.66,0
3.32,251.12,0
3.33,252.59,0
3.34,254.05,0
3.35,255.51,0
3.36,256.98,0
3.37,258.44,0
3.38,259.9,0
3.39,261.36,0
3.4,262.83,0
3.41,264.29,0
3.42,265.75,0
3.43,267.22,0.02
3.44,268.68,0.04
3.45,270.14,0.06
3.46,271.61,0.05
3.47,273.07,0.09
3.48,267.7,0.15
3.49,263.57,0.2
3.5,258.3,0.21
3.51,252.3,0.19
3.52,247.26,0.17
3.53,240.27,0.16
3.54,233.34,0.14
3.55,223.79,0.09
3.56,211.39,0.05
3.57,192.05,0.02
3.58,171.18,0
3.59,150.32,0.01
3.6,129.45,0.02
3.61,206.25,0.09
3.62,217.27,0.12
3.63,212.97,0.13
3.64,210.54,0.13
3.65,204.99,0.1
3.66,195.76,0.07
3.67,200.62,0.04
3.68,207.67,0.04
3.69,210.94,0.08
3.7,207.9,0.11
3.71,205.6,0.12
3.72,204.33,0.11
3.73,204.83,0.11
3.74,205.96,0.11
3.75,205.55,0.11
3.76,207.28,0.11
3.77,208.09,0.12
3.78,209.81,0.11
3.79,214.43,0.1
3.8,223.24,0.09
3.81,233.8,0.08
3.82,239.47,0.05
3.83,249.92,0.02
3.84,249.71,0
3.85,247.78,0
3.86,245.85,0
3.87,243.92,0
3.88,241.99,0
3.89,240.06,0
3.9,238.12,0
3.91,236.19,0
3.92,234.26,0
3.93,232.33,0
3.94,230.4,0
3.95,228.47,0
3.96,226.54,0
3.97,224.61,0
3.98,222.68,0
3.99,220.75,0
4,218.81,0
4.01,216.88,0
4.02,214.95,0
4.03,213.02,0
4.04,211.09,0
4.05,209.16,0
4.06,275.35,0.01
4.07,248.94,0.08
4.08,236.6,0.11
4.09,226.72,0.12
4.1,219.28,0.11
4.11,212.47,0.1
4.12,208.11,0.09
4.13,204.45,0.09
4.14,204.36,0.08
4.15,207.53,0.08
4.16,214.06,0.08
4.17,221.27,0.08
4.18,226.79,0.08
4.19,235.85,0.08
4.2,246.04,0.08
4.21,254.08,0.06
4.22,260.61,0.03
4.23,71.13,0.02
4.24,283.62,0.1
4.25,286.67,0.14
4.26,280.33,0.13
4.27,274.97,0.12
4.28,266.33,0.08
4.29,264.28,0.02
4.3,72.95,0.01
4.31,90.93,0
4.32,114.14,0
4.33,137.36,0
4.34,160.57,0
4.35,172.12,0.01
4.36,309.17,0.06
4.37,327.9,0.11
4.38,319.05,0.14
4.39,308.43,0.13
4.4,285.23,0.11
4.41,260.93,0.08
4.42,243.05,0.03
4.43,215.66,0.01
4.44,188.27,0
4.45,160.88,0.01
4.46,133.5,0.01
4.47,106.11,0.01
4.48,78.72,0.02
4.49,54.65,0.02
4.5,196.5,0.06
4.51,192.14,0.08
4.52,186.71,0.08
4.53,183.02,0.07
4.54,177.3,0.05
4.55,177.41,0.02
4.56,186.56,0
4.57,195.71,0
4.58,204.85,0.01
4.59,214,0.01
4.6,223.15,0.02
4.61,232.3,0.03
4.62,241.45,0.05
4.63,250.59,0.05
4.64,259.74,0.05
4.65,269.09,0.07
4.66,281.68,0.12
4.67,292.25,0.16
4.68,293.1,0.17
4.69,293.54,0.16
4.7,296.25,0.15
4.71,297.36,0.14
4.72,296.72,0.11
4.73,291,0.05
4.74,297.62,0.01
4.75,304.23,0.01
4.76,310.85,0.03
4.77,317.47,0.04
4.78,324.08,0.03
4.79,330.7,0.05
4.8,336.41,0.13
4.81,333.64,0.17
4.82,338.47,0.16
4.83,343.77,0.16
4.84,342.95,0.17
4.85,340.3,0.16
4.86,338.39,0.15
4.87,337.42,0.13
4.88,338.64,0.11
4.89,343.4,0.09
4.9,349.77,0.07
4.91,351.55,0.05
4.92,351.28,0.04
4.93,346.89,0.02
4.94,350.39,0.01
4.95,336.97,0
4.96,334.02,0
4.97,331.07,0
4.98,328.12,0
4.99,325.17,0
5,322.22,0
5.01,319.27,0
5.02,316.32,0
5.03,313.37,0
5.04,310.41,0
5.05,307.46,0
5.06,304.51,0
5.07,301.56,0
5.08,298.61,0
5.09,295.66,0
5.1,292.71,0
5.11,289.76,0
5.12,286.81,0
5.13,283.86,0
5.14,280.91,0
5.15,277.96,0
5.16,275.01,0
5.17,272.05,0
5.18,269.1,0
5.19,266.15,0
5.2,263.2,0
5.21,260.25,0
5.22,257.3,0
5.23,254.35,0
5.24,251.4,0
5.25,248.45,0
5.26,245.5,0
5.27,242.55,0
5.28,239.6,0
5.29,236.65,0
5.3,233.69,0
5.31,230.74,0
5.32,227.79,0
5.33,224.84,0
5.34,221.89,0
5.35,218.94,0
5.36,215.99,0
5.37,213.04,0
5.38,210.09,0
5.39,207.14,0
5.4,204.19,0
5.41,201.24,0
5.42,198.29,0
5.43,195.33,0
5.44,192.38,0
5.45,189.43,0
5.46,186.48,0
5.47,183.53,0
5.48,180.58,0
5.49,177.63,0
5.5,174.68,0
5.51,171.73,0.01
5.52,168.78,0.01
5.53,165.83,0.02
5.54,162.88,0.02
5.55,159.93,0.03
5.56,156.97,0.02
5.57,193.59,0.1
5.58,298.16,0.16
5.59,285.86,0.18
5.6,273.03,0.17
5.61,263.46,0.16
5.62,257.49,0.15
5.63,255.09,0.14
5.64,254.23,0.11
5.65,254.63,0.09
5.66,258.04,0.08
5.67,262.67,0.08
5.68,266.84,0.09
5.69,271,0.1
5.7,276.62,0.1
5.71,284.09,0.1
5.72,295.52,0.09
