,hrf,deriv
0,0.0,0.0
1,0.0974643853004,0.451971263267
2,20.2310499223,24.5918933268
3,100.61110123,48.3079303295
4,188.053755609,35.1310272613
5,240.637536658,17.5330794817
6,256.40175953,0.559761779519
7,250.670141883,-5.92203250904
8,239.945574483,-3.88763107488
9,239.836026174,2.7066710909
10,247.251217991,2.51342765473
11,247.822418738,-0.95496585347
12,241.485858337,-6.238684681
13,235.382305373,0.164521973315
14,236.494052146,1.41778186521
15,243.666391966,2.62237213803
16,242.498996789,-1.39508846296
17,244.129936899,1.48363924928
18,245.649453377,-0.847166265666
19,244.875355473,1.62115131969
20,251.418674461,2.65718659233
21,251.356325103,-1.26296769476
22,251.478303007,-0.595098316782
23,242.628561939,-8.5538862929
24,225.643151439,-6.47717275901
25,218.497732657,-1.13957569591
26,217.378439481,-0.0509497178931
27,232.026705865,14.7899685677
28,266.544791018,13.0936368777
29,274.323510576,-3.03741826324
30,262.417686121,-8.17830834331
31,245.206488198,-5.87957692792
32,245.345495368,1.68944940375
33,236.421186412,-9.45320459802
34,217.126967257,-7.37277217293
35,213.191929865,2.93455857124
36,230.059458999,10.6613107031
37,244.126918545,2.30399337549
38,243.220813472,-2.40713520573
39,234.545927764,-7.21088886392
40,218.081977487,-8.1586861673
41,204.210162485,-6.18436933329
42,200.505653995,4.02957601639
43,215.047102553,6.19500654134
44,216.782941523,-3.05190198511
45,219.121780953,5.64047749506
46,227.722153963,-0.197130467702
47,218.159967159,-7.04582926618
48,214.207214674,2.81757990578
49,222.791446649,3.53692376383
50,227.474328509,0.494858541356
51,223.741913383,-1.72264151372
52,225.590002287,0.4751061189
53,223.568559842,-0.89939764912
54,218.041410735,-6.73651290879
55,207.573216036,-0.616145901509
56,218.035794392,8.7504008821
57,233.639520419,3.91071186263
58,228.263198456,-6.88893509599
59,217.52699078,-3.36263179027
60,214.486929933,-1.07111410563
61,214.200816046,0.700194023772
62,218.725652246,4.62372809083
63,234.258187442,8.71171674598
64,246.905227423,3.70145969773
65,249.345922279,-3.4897119326
66,236.56201822,-6.92159050018
67,232.134533686,1.65685592794
68,232.595283893,-2.76679760726
69,224.87330506,-3.74458558782
70,225.586623467,3.40099741071
71,234.354987103,4.39681079336
72,239.471676948,1.32679993147
73,243.049670445,0.495694576411
74,237.565700256,-5.38656701363
75,224.14975599,-5.4438742303
76,228.340804801,9.21121083933
77,253.706799,11.8544907048
78,263.065706556,-4.35416884614
79,240.437644187,-12.5680434559
80,220.195519594,-7.34149153314
81,209.174620448,-5.23964759579
82,200.026876553,-3.48820510722
83,192.839637012,-2.59127721935
84,196.4632399,4.39659420742
85,208.430221084,7.26963084608
86,226.844421086,9.42878349686
87,238.046577703,0.176462428382
88,228.04130214,-8.81561197936
89,211.443562704,-4.88882507956
90,212.863037444,1.49590108359
91,205.613728361,-5.54515014934
92,212.058198898,9.76707710202
93,231.398281903,8.07998214875
94,247.1142874,6.5667158387
95,249.437165042,-5.19868819075
96,237.874380437,-2.83389566347
97,243.628440418,5.94943322805
98,243.739929955,-7.54105454353
99,224.914678646,-6.53904822464
100,223.086399731,1.32975148656
101,225.172666631,2.25908718726
102,239.753665742,10.2836186822
103,257.347366301,4.03805002358
104,251.495637,-9.57786401209
105,233.539965013,-4.18724283391
106,230.74152456,-3.66139261629
107,217.469029998,-5.73636785054
108,221.602825712,8.05159311278
109,230.336755223,-2.02442875596
110,221.442394203,-4.1339865448
111,224.355669102,7.87505327801
112,247.355504057,11.3065669915
113,260.512900766,1.59309205315
114,258.113890755,-2.91705512603
115,243.971828427,-12.0942715396
116,220.574551291,-6.36213385363
117,225.817890357,5.8506915969
118,229.213220433,-2.32174377849
119,222.0628817,-4.83061617765
120,209.038856927,-6.1694510112
121,212.214634173,7.8680602527
122,223.152393185,0.897033592709
123,224.046910097,1.1233469648
124,225.939424733,0.525550043589
125,232.319277933,6.3037188662
126,248.627584712,8.19147532164
127,255.923885961,-2.66187134793
128,241.587806789,-8.93748729687
129,235.292164429,1.24255947974
130,228.850308731,-9.30166077968
131,202.47987392,-12.5369185587
132,191.919839794,1.58807830973
133,207.594996003,12.3204821398
134,228.435393863,5.40685672136
135,235.962062494,5.42268059218
136,252.152809473,7.2858377205
137,261.281456105,1.6597052242
138,255.651806943,-8.45837967566
139,234.784042813,-8.9490504802
140,225.148944182,-2.10386622804
141,222.273869346,1.20725804049
142,233.938385484,7.44617444553
143,245.908931539,3.04878272059
144,241.284166074,-8.45136731354
145,213.593800108,-14.7835756788
146,200.392069174,-0.0543322114006
147,203.46934339,1.19943159931
148,214.392155195,11.4904629164
149,248.912715725,18.0370585998
150,262.663122056,-5.532934558
151,239.348058123,-10.9297647312
152,234.284547131,4.36193486874
153,248.537287094,6.0514794603
154,252.880503112,-0.985445975295
155,249.934177695,-2.39458097938
156,244.543823897,-2.27301263086
157,242.140651901,1.10320436191
158,252.292475452,7.50739927228
159,267.590565436,5.33843561514
160,271.104914495,-0.264651095278
161,267.85033733,-4.26921587925
162,255.493923315,-7.15369536867
163,244.978992751,-3.45502818544
164,240.212487991,-1.65571937629
165,236.161715904,-3.22825838733
166,233.637165777,2.05662262322
167,244.920456487,5.99150832897
168,244.96046746,-5.80712647486
169,233.948179851,-3.79342503536
170,226.841457215,-3.4061785989
171,223.92302691,-3.29443569823
172,210.138817671,-5.783529252
173,217.078218423,10.262601569
174,234.876090889,4.56682395158
175,237.458336635,-0.164613889712
176,244.315010509,7.80007685522
177,264.733613082,10.0513702673
178,278.198476857,1.10602648728
179,266.676557045,-9.4357638545
180,256.784599511,-1.05502203967
181,248.986387427,-7.28892921458
182,231.805952636,-11.2495910031
183,208.215390949,-10.1687271115
184,198.722584333,1.92849268319
185,217.124033822,13.2613816629
186,247.40898753,12.4667900723
187,259.56939543,1.56846430735
188,256.583349866,-3.84291561535
189,247.668416742,-2.83528149653
190,249.526755074,2.82482031195
191,251.870494277,-3.11324159904
192,237.456228275,-11.7159788234
193,209.806425521,-10.0378606758
194,210.582049901,7.06953538202
195,223.172670072,1.67833550067
196,222.274118684,0.389709715726
197,225.988421356,1.68003334854
198,233.161040253,5.77775435397
199,247.104229333,5.59948507601
